Câu hỏi,Trả lời
GAIA có những cơ sở nào? Ở đâu ạ?,"GAIA hiện có 05 cơ sở chính: 
1) (GAIA Riverside – Shophouse 5-21 Hướng Dương, khu đô thị Vinhomes Riverside, quận Long Biên, Hà Nội.
2) GAIA Yên Phụ – Số 20 Yên Phụ, phường Trúc Bạch, quận Ba Đình, Hà Nội.
3) GAIA Ecopark – Khu S12 Thủy Tiên 1, khu đô thị Ecopark, huyện Văn Giang, tỉnh Hưng Yên.
4) GAIA Ocean Park – Tòa 01S5, block R105, Zen Park, khu đô thị Vinhomes Ocean Park 1, Gia Lâm, Hà Nội.
5) GAIA Thanh Hoá, 247 đường Trường Thi, TP. Thanh Hoá
Anh/Chị có muốn GAIA gửi bản đồ chỉ đường và số liên hệ từng cơ sở để thuận tiện đặt lịch không ạ?"
Giờ làm việc của GAIA thế nào ạ?,"Dạ, GAIA làm việc từ 8:00 đến 18:00 các ngày Thứ 2 đến Chủ Nhật ạ. Ngoài ra, chúng tôi có đội ngũ bác sĩ trực cấp cứu ngoài giờ khi cần. Anh/Chị có muốn đặt lịch hẹn trước để được phục vụ tốt nhất trong khung giờ phù hợp không ạ?"
GAIA cung cấp những dịch vụ gì ạ?,"Dạ, GAIA cung cấp đầy đủ dịch vụ chăm sóc thú cưng gồm khám sức khỏe tổng quát, tư vấn dinh dưỡng, tiêm vaccine, phẫu thuật, spa tắm tỉa lông, khách sạn thú cưng, vận chuyển thú cưng và cả dịch vụ cấp cứu 24/7. Bất cứ nhu cầu nào của thú cưng, GAIA đều sẵn sàng hỗ trợ. Anh/Chị có muốn tìm hiểu thêm về dịch vụ nào cụ thể không ạ?"
Em có cần đặt lịch hẹn trước khi đến GAIA không ạ?,"Dạ, Anh/Chị có thể đưa bé đến trực tiếp mà không cần hẹn trước, GAIA luôn có bác sĩ túc trực ạ. Tuy nhiên, để đảm bảo phục vụ chu đáo và không phải chờ lâu, GAIA khuyến khích Anh/Chị đặt lịch trước qua hotline 024 32 238 238 hoặc website. Anh/Chị có muốn GAIA hỗ trợ đặt lịch hẹn trước cho mình không ạ?"
Chi phí khám chữa bệnh tại GAIA có đắt không ạ?,"Dạ, chi phí dịch vụ tại GAIA được niêm yết minh bạch và tương xứng với chất lượng chăm sóc chuẩn Nhật Bản ạ. Ví dụ, phí khám tổng quát thường ở mức hợp lý và GAIA sẽ thông báo cụ thể chi phí các dịch vụ trước khi tiến hành. Chúng tôi cũng có các gói dịch vụ ưu đãi để tiết kiệm chi phí cho khách hàng. Anh/Chị có muốn GAIA gửi bảng giá chi tiết hoặc tư vấn gói dịch vụ phù hợp cho bé không ạ?"
“Phòng khám thú cưng phong cách Nhật Bản” nghĩa là sao ạ?,"Dạ, GAIA được vận hành theo mô hình và tiêu chuẩn chăm sóc thú y của Nhật Bản ạ. Điều này có nghĩa là chúng tôi chú trọng sự sạch sẽ, đúng giờ, quy trình chuyên nghiệp và đặc biệt là tinh thần phục vụ Omotenashi – luôn tận tâm, chu đáo với khách hàng. Thú cưng của Anh/Chị sẽ được chăm sóc kỹ lưỡng như tại các bệnh viện thú y hàng đầu ở Nhật. Anh/Chị có muốn trải nghiệm dịch vụ chuẩn Nhật này cho bé cưng không ạ?"
“Omotenashi” là gì ạ?,"Dạ, “Omotenashi” là triết lý hiếu khách của người Nhật, nghĩa là phục vụ khách hàng bằng cả tấm lòng một cách chu đáo, chân thành nhất. Tại GAIA, tinh thần Omotenashi được thể hiện qua việc chúng tôi luôn chủ động lắng nghe, thấu hiểu nhu cầu của Anh/Chị và thú cưng, chăm sóc từ những điều nhỏ nhất trước và sau dịch vụ. Anh/Chị có muốn cảm nhận sự khác biệt từ phong cách phục vụ Omotenashi của GAIA không ạ?"
Đội ngũ bác sĩ tại GAIA có kinh nghiệm không ạ?,"Dạ, đội ngũ bác sĩ của GAIA rất giàu kinh nghiệm và được đào tạo bài bản theo tiêu chuẩn Nhật Bản ạ. Nhiều bác sĩ đã tu nghiệp tại Nhật và châu Âu, có trên 15 năm kinh nghiệm trong lĩnh vực thú y, luôn cập nhật kỹ thuật mới. Anh/Chị có thể yên tâm giao bé cho GAIA. Anh/Chị có muốn đặt lịch để một trong những bác sĩ chuyên môn cao của chúng tôi khám cho bé không ạ?"
GAIA có chương trình ưu đãi hoặc thẻ thành viên cho khách hàng không ạ?,"Dạ, GAIA có chương trình khách hàng thân thiết với nhiều ưu đãi hấp dẫn ạ. Khi trở thành thành viên, Anh/Chị có thể được giảm giá một số dịch vụ, nhận quà tặng vào dịp sinh nhật của bé cưng và được ưu tiên khi đặt lịch hẹn. Ngoài ra, GAIA thường có các khuyến mãi theo mùa hoặc sự kiện đặc biệt. Anh/Chị có muốn GAIA tư vấn cách đăng ký thành viên hoặc cập nhật ưu đãi mới nhất không ạ?"
GAIA có chấp nhận thanh toán thẻ hoặc chuyển khoản không ạ?,"Dạ, GAIA hỗ trợ nhiều phương thức thanh toán linh hoạt ạ. Anh/Chị có thể thanh toán bằng tiền mặt, thẻ tín dụng, thẻ ATM nội địa, hoặc chuyển khoản và cả ví điện tử. Chúng tôi luôn mong muốn mang lại sự tiện lợi tối đa cho khách hàng khi sử dụng dịch vụ. Anh/Chị có cần GAIA hướng dẫn thêm về phương thức thanh toán nào không ạ?"
